_id,School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Email Address,School Website,School Level,School Special Conditions Type,Program Type,Association Membership
463,Eastern Canada High School,882251,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ahmed Dawson,206,,2141 Kipling Avenue,Toronto,Ontario,M9W4K8,416-567-4404,,Central Region,easterncanada.edu@gmail.com,www.easterncanadahs.com,Secondary,Not applicable,Online/Site Based,No Association Membership
464,Ebb and Flow Forest School,667101,,Adam Munce,,,532 Blue Lake Road,St. George,Ontario,N0E1N0,226-747-7589,,West Region,ebbandflowforestschool@gmail.com,www.ebbandflowforestschool.com,Elementary,Not applicable,Site based only,No Association Membership
465,Eben-Ezer Christian School,886130,,Natasha Vanderveen,,,485 McNaughton Ave E,Chatham,Ontario,N7L2H2,519-354-1142,519-354-2159,West Region,ebenezer@bellnet.ca,currently under construction,Elementary,Not applicable,Site based only,Covenant Canadian Reformed Teachers College (CCRTC)
466,Eben-ezer Christian School,884292,Offers credits toward the Ontario Secondary School Diploma (OSSD),Arthur Verhoef,,,4160 Fly Road,Campden,Ontario,L0R1G0,905-563-3077,,West Region,principal@ecschool.ca,,Elem/Sec,Not applicable,Site based only,EDVance
467,Ebenezer Christian Academy,876771,,Jeanette Grass,,,43 Fox St,Essex,Ontario,N8M2S1,519-776-4158,519-776-5052,West Region,ecm@kelcom.net,,Elem/Sec,Not applicable,Site based only,No Association Membership
468,Eder Academy of Canada,886074,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yuan Qi,401,,205 Placer Ct,North York,Ontario,M2H0A9,647-633-6996,,Central Region,info@ederacademy.ca,www.ederacademy.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
469,Edge Hill Country School,883964,,Christopher Ruttan,,,423281 Concession 6 RR 1,Durham,Ontario,N0G1R0,519-369-3195,,West Region,info@edgehillschool.org,www.edgehillschool.org,Elementary,Not applicable,Site based only,Waldorf Early Childhood Association of North America
470,EduNaissance Academy,668586,,Jianhui Yuan,145,,21 Duke Street,St. Catharines,Ontario,L2R5W1,416-556-7627,,West Region,jeffrey@edunaissance.com,https://edunaissance.school,Elem/Sec,Not applicable,Online Only,No Association Membership
471,EduSmile Ontario High School,884726,Offers credits toward the Ontario Secondary School Diploma (OSSD),Reema Dhawan,J1,,10510 Torbram Road,Brampton,Ontario,L6R3N9,905-458-3337,,Central Region,info@edusmilelearning.ca,www.edusmilelearning.ca,Secondary,Not applicable,Site based only,No Association Membership
472,Edukos Academy,881769,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mark Hanna,,,5 Brocton avenue,Richmond Hill,Ontario,L4E4T1,647-849-5722,,Central Region,admin@edukosacademies.com,,Elem/Sec,All Year Round,Online Only,No Association Membership
473,Edward International Academy,881776,Offers credits toward the Ontario Secondary School Diploma (OSSD),Franco Marchese,,,430 King Street,Wallaceburg,Ontario,N8A1J1,519-997-2535,,West Region,erictian@edward-edu.ca,www.edward-edu.ca,Secondary,Not applicable,Online/Site Based,No Association Membership
474,Eenchokay Birchstick,663492,Offers credits toward the Ontario Secondary School Diploma (OSSD),Parastou Ziadlou,,,71 Airport Road,Pikangikum,Ontario,P0V2L0,807-773-5561,,North Region,,www.ebs-school.org,Elem/Sec,First Nation,Site based only,No Association Membership
475,Eitz Chaim Schools,887234,,Mordechai Loiterman,,,80 York Hill Boulevard,Thornhill,Ontario,L4J2P6,905-764-6633,,Central Region,spring@eitzchaim.com,,Elementary,Not applicable,Site based only,No Association Membership
476,Elite High School,668539,Offers credits toward the Ontario Secondary School Diploma (OSSD),Aimee Liu,103,,106 Parkway Forest Dr,North York,Ontario,M2J0C3,647-994-9992,,Central Region,info@elitehighschool.com,www.elitehighschool.com,Secondary,All Year Round,Online Only,No Association Membership
477,Elite Montessori School,889246,,Indu Luthra,,,6395 Mississauga Road,Mississauga,Ontario,L5N1A5,905-567-6600,,Central Region,info@elitemontessorischool.com,www.elitemontessorischool.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
478,Elm Creek Parochial School,876593,,Minerva Bowman,,,8410 Concession 3,Listowel,Ontario,N4W3G8,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
479,Elmira North Parochial School,665568,,Loreen Martin,,,1560 Tilman Road 1,Elmira,Ontario,N3B2Z1,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
480,Elmwood School,886300,Offers credits toward the Ontario Secondary School Diploma (OSSD),James Whitehouse,,,261 Buena Vista Rd,Ottawa,Ontario,K1M0V9,613-749-6761,613-741-8210,East Region,jwhitehouse@elmwood.ca,http://www.elmwood.ca,Elem/Sec,Not applicable,Online/Site Based,IB Schools of Ontario
481,Elora Road Christian School,881651,,Cindy Westendorp,,,5696 Wellington Rd 7 RR 5,Guelph,Ontario,N1H6J2,519-824-1890,,West Region,school@ercs.cloud,www.eloraroad.ca,Elementary,Not applicable,Site based only,EDVance
482,Elpis College,881900,Offers credits toward the Ontario Secondary School Diploma (OSSD),Esther Kim,1,,2160 DUNWIN DR,Mississauga,Ontario,L5L5M8,905-607-7773,905-607-7773,Central Region,info@elpiscollege.ca,www.elpiscollege.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
483,Elton Academy,885897,Offers credits toward the Ontario Secondary School Diploma (OSSD),Andrew Kwa,4,,2 East Beaver Creek Road,Richmond Hill,Ontario,L4B2N3,905-731-0505,905-764-1881,Central Region,info@eltonacademy.ca,www.eltonacademy.com,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
484,Emerald Valley Academy,887678,Offers credits toward the Ontario Secondary School Diploma (OSSD),Eric Tran,,,170 Sheppard Ave E,North York,Ontario,M2N3A4,437-268-6158,,East Region,admissions@evaschool.ca,www.evaschool.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
485,Emmanuel Christian Academy,667463,,Tammy McEwen,,,35 Seymour E Street,Madoc,Ontario,K0K2K0,343-645-4029,,East Region,timandtammym@gmail.com,ECAMadoc.com,Elementary,Not applicable,Site based only,Other
486,Emmanuel Christian High School,889776,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stephen DeBoer,,,680 Tower Street South,Fergus,Ontario,N1M0B1,226-383-7300,,West Region,office@echs.ca,www.echs.ca,Secondary,Not applicable,Site based only,No Association Membership
487,Emmaus Learning Pod,883831,,Josh Durston,,,47 Arthur St. S.,Elmira,Ontario,N3B2Z5,519-590-8931,,West Region,jeff@emmauslp.com,,Secondary,Not applicable,Online/Site Based,No Association Membership
488,Endless PossABILITIES,882835,,Lee Bent,22,,17817 Leslie Street,Newmarket,Ontario,L3Y8C6,905-715-7771,,Toronto Region,info@endlesspossabilities.ca,www.endlesspossabilities.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
489,Enquiring Minds Montessori School,884041,,Kristen Hamilton,,,24 Progress Avenue,Toronto,Ontario,M1P2Y4,416-298-9938,,East Region,info@studio24.com.bz,www.enquiringmindsmontessori.com,Elementary,Not applicable,Online/Site Based,Canadian Council of Montessori Administrators (CCMA)
490,Entsyoyaneren'ne Secondary School,665537,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Megan Batchelor,,,245 Garner Road,Ancaster,Ontario,L9G3K9,289-339-9316,,West Region,m.batchelor@esschool.org,www.esschool.org,Elem/Sec,Not applicable,Site based only,No Association Membership
491,Erudite School,889027,,Olga Orlova,"209, 210, 211, 216",,2323 Bloor Street West,Toronto,Ontario,M6S4W1,647-812-1052,,Toronto Region,contact@eruditeschool.com,www.eruditeschool.com,Elementary,Not applicable,Site based only,No Association Membership
492,Ethnos Academy,875821,,Angie Bechtel,,707,313363 Highway 6 South St,Durham,Ontario,N0G1R0,519-369-2622,519-369-5828,West Region,academy@ethnos.ca,,Elem/Sec,Not applicable,Online/Site Based,Other
493,Ethos of Learning,885999,,Lisa Beeke,,,128 KI,PORT HOPE,Ontario,L1A2R9,905-885-7373,,East Region,lisabeeke40@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
494,Eunoia Forest School,881691,,Ellisha Blair,,,275 Conlin Road,Oshawa,Ontario,L0B1J0,416-453-3895,,East Region,ellisha@eunoiaforestschool.ca,www.eunoiaforestschool.ca,Elementary,Not applicable,Site based only,No Association Membership
495,Eureka Montessori,881135,,Yevgenya Kapustin,,,13345 Yonge Street,Richmond Hill,Ontario,L4E3L3,905-773-7999,,Central Region,eurekamontessorirh@gmail.com,www.eurekamontessori.ca,Elementary,Not applicable,Site based only,Independent and Private School Forum
496,Everest Academy,667763,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jamie Stone,,,2600 Rutherford Road,Concord,Ontario,L4K5R1,905-417-9393,,Central Region,guidance@everestacademy.com,https://www.everestacademy.com/,Elem/Sec,Not applicable,Site based only,No Association Membership
497,Everest Academy Centre,669591,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yousif Hassein,5,,600 Matheson Blvd W,Mississauga,Ontario,L5R4C1,647-507-1083,,Central Region,yousif.hassein3@gmail.com,,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
498,Evergreen Education,884389,,Sarah Dunn,,,160 Marina Blvd,Peterborough,Ontario,K9H6M9,705-761-0659,,East Region,sdunn@evergreenedu.ca,https://evergreenedu.ca/,Elementary,Not applicable,Site based only,No Association Membership
499,Evergreen Leadership Academy,881785,,Simon Wolfson,B,,2701 Rutherford Road,Vaughan,Ontario,L4K2N6,905-417-3962,,Central Region,info@evergreenlearning.ca,www.evergreenlearning.ca,Elementary,Not applicable,Site based only,No Association Membership
500,Evergreen STEAM Academy,665867,,Tanya Nicoloff,,,5100 Appleby Line,Burlington,Ontario,L7M0P5,647-839-7533,,West Region,tanya@evergreenlearning.ca,DiscoverEvergreenAcademy.ca,Elementary,Not applicable,Site based only,Independent and Private School Forum
501,Every Child’s Montessori Enrichment School,880491,,Ashley Volpe,,,271 Mountainview Road South,Georgetown,Ontario,L7G5K8,416-277-5538,,Central Region,everychildsmontessori@gmail.com,www.everychildsmontessori.com,Elementary,Not applicable,Site based only,No Association Membership
502,Excel Your Education Academy,883259,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jannatjeet Garewal,31,,2053 Williams Parkway,Brampton,Ontario,L6S5T4,647-271-7654,,Central Region,excelyoureducation@gmail.com,www.excelyouredu.ca,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
503,Exceptional Learning Centre,665835,,riley friedman,1,,520 Westney Rd South,Ajax,Ontario,L1S6W4,905-686-4800,905-686-1922,East Region,riley.friedman@exlcentre.com,www.exlcentre.com,Elementary,Not applicable,Site based only,No Association Membership
504,Experience School,886085,Offers credits toward the Ontario Secondary School Diploma (OSSD),Karen Douglas,,,42 Sousa Mendes Street,Toronto,Ontario,M6P0B2,416-923-4638,416-923-4639,Toronto Region,forcredit@edutravel.com,www.experienceschool.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
505,Explorer Hop Academy,668970,Offers credits toward the Ontario Secondary School Diploma (OSSD),Hasina Lookman,,,109 Pemberton Street,Toronto,Ontario,M2M1Y4,416-833-1782,,Toronto Region,hello@explorerhop.com,explorerhop.com,Elem/Sec,All Year Round,Online Only,No Association Membership
506,FH Education Online,668794,Offers credits toward the Ontario Secondary School Diploma (OSSD),Julia Zhu,Bldg B,,3000 Lawrence Ave E.,Toronto,Ontario,M1P2V1,416-289-4200,,East Region,online@fheducation.ca,https://fheducation.ca/fh-highschool-online/,Elem/Sec,All Year Round,Online Only,No Association Membership
507,Faculty of Engineering Secondary School,882762,Offers credits toward the Ontario Secondary School Diploma (OSSD),Julie Olivier,B111,,161 Louis-Pasteur Prvt,Ottawa,Ontario,K1N6N5,613-562-5491,,East Region,engineering.secondaryschool@uottawa.ca,https://www.uottawa.ca/faculty-engineering/outreach/faculty-engineering-secondary-school,Secondary,All Year Round,Online/Site Based,No Association Membership
508,Fair Haven Christian Day School,888800,,Jonathan Klassen,,,4184 Line 61 R.R.#1,Milverton,Ontario,N0K1M0,519-595-4568,,West Region,fairhavenchristiandayschool@gmail.com,,Elem/Sec,Not applicable,Site based only,No Association Membership
509,Fair View School,668526,,Alvin Shetler,,,433075 Zenda Line 1,Mount Elgin,Ontario,N0J1N0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
510,Fairbanks Parochial School,667608,,Miriam Bearinger,,,083526 Southgate Road 8 2,Mount Forest,Ontario,N0G2L0,,,West Region,,,Elem/Sec,Not applicable,Site based only,No Association Membership
511,Fairport Montessori Academy,883823,,Nader Kabboul,,,1825 Manning Road Road,Whitby,Ontario,L1N3M4,647-204-9824,,East Region,kabboul@gmail.com,www.FairportMontessori.com,Elementary,Not applicable,Site based only,Montessori Quality Assurance in Canada (MQA)
512,Fairview Amish Private School,888990,,Robert Shetler,,,37639 Belgrave Road 2,Lucknow,Ontario,N0G2H0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
513,Fairview Amish School,665812,,Katie Anna Zehr,,,52090 Chalet Line,Aylmer,Ontario,N5H2R1,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
514,Fairview Glen Montessori,668711,,Tammy-Leigh Sage,,,3508 COMMERCE CRT,BURLINGTON,Ontario,L7N3L7,905-634-0781,905-634-7378,West Region,tlsage@fairviewglen.com,www.fairviewglen.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
515,Faithway Baptist Church School,889423,,Eric Léveillé,,,1964 Salem Rd,Ajax,Ontario,L1T4V3,905-686-0951,905-686-1450,East Region,faithway@faithway.org,,Elem/Sec,Not applicable,Site based only,No Association Membership
516,Farewell Parochial School,888931,,Wilfred Saunder,,,9173 Concession 11 5,Mount Forest,Ontario,N0G2L0,519-509-4769,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
517,Fern Hill,882178,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wendy Derrick,,,3300 Ninth Line,Oakville,Ontario,L6H7A8,905-257-0022,,Central Region,admissions@fernhillschool.com,http://www.fernhillschool.com,Elem/Sec,Not applicable,Site based only,Other
518,Fern Hill - Burlington,882353,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wendy Derrick,,,801 North Service Road,Burlington,Ontario,L7P5B6,905-634-8652,905-634-1933,West Region,jricciardi@fernhillschool.com,www.fernhillschool.com,Elem/Sec,Not applicable,Site based only,Independent and Private School Forum
519,Fern Hill School,876046,,Deborah Gutierrez,,,50 Vaughan Street,Ottawa,Ontario,K1M1X1,613-746-0255,613-746-7514,East Region,principal@fernhillottawa.com,http://www.fernhillottawa.com,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
520,Fernbank Parochial School,883638,,Joyce Frey,,,7452 Perth Road 121 1,Newton,Ontario,N0K1R0,519-595-2304,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
521,Fieldstone School,885377,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shumaila Khan,,,2999 Dufferin Street,Toronto,Ontario,M6B3T4,416-487-1989,416-487-8190,Central Region,skhan@fieldstonekcschool.org,www.fieldstonekcschool.org,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
522,First Lutheran Christian Academy,877123,,Laurie McLeod,,,3850 Locke St,Windsor,Ontario,N9G1S1,519-250-7888,519-250-7715,West Region,flca@mnsi.net,www.flca.ca,Elementary,Not applicable,Site based only,Other
523,Fitra School,889001,,Reem Yousef,,,1469 Stittsville Main Street,Stittsville,Ontario,K2S1E3,613-413-9778,,East Region,fitraschool@stittsvillemuslims.ca,www.stittsvillemuslims.ca,Elementary,Not applicable,Site based only,No Association Membership
524,Flexi Academy,886312,Offers credits toward the Ontario Secondary School Diploma (OSSD),Abdulhamid Alfadaly,,,23 Moonstream Crt.,Mississauga,Ontario,L5N2P8,416-677-3364,,Central Region,essam.murad@gmail.com,https://flexiacademy.com/,Elem/Sec,Not applicable,Online Only,No Association Membership
525,FlexiBlend School,669757,,Samy Elfadaly,2789,,2789 Bushland Crescent,Mississauga,Ontario,L5J1Y1,647-627-3938,,Central Region,info@taleem-edu.com,www.taleem-edu.com,Elementary,Not applicable,Online Only,No Association Membership
526,Floradale Parochial School,885622,,Erma Weber,,,2490 Floradale Road 1,Elmira,Ontario,N3B2Z1,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
527,Foley Mountain Forest School,665974,,Rebecca Whitman,,,480 Foley Mountain Lane,Westport,Ontario,K0G1X0,613-273-3255,613-692-0831,East Region,rebecca.whitman@rvca.ca,https://www.rvca.ca/outdoor-education/foley-forest-school,Elementary,Not applicable,Site based only,No Association Membership
528,Fordyce Parochial School,669317,,Rudy Gingerich,,,38725 Belfast Road 3,Wingham,Ontario,N0G2W0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
529,Forest Heights School,669091,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jeffrey Sung,200,,1020 Denison Street,Markham,Ontario,L3R3W5,416-627-6658,,Central Region,jeffsung@forestheightsschool.ca,,Secondary,All Year Round,Site based only,No Association Membership
530,Forest Hill Tutoring,882430,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sharare Nia,,,423 Spadina Road,Toronto,Ontario,M5P2W3,416-483-6023,,Toronto Region,info@foresthilltutoring.com,,Secondary,All Year Round,Site based only,No Association Membership
531,Fort Erie International Academy,665760,Offers credits toward the Ontario Secondary School Diploma (OSSD),William Cockburn,,,7 Tait Avenue,Fort Erie,Ontario,L2A0G1,647-728-7840,,West Region,info@feia.ca,www.feia.ca,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
532,Foundation Christian School,669733,,Matthew Robinson,,,28 Katherine Street South,Winterbourne,Ontario,N0B2V0,519-664-0110,,West Region,admin@foundationchristianschool.ca,www.foundationchristianschool.ca,Elementary,Not applicable,Site based only,EDVance
533,Foundations Montessori School,669576,,Katy Lange,,,265 Wilson Street East,Ancaster,Ontario,L9G2B8,905-317-5805,,West Region,principal@foundationsmontessori.ca,,Elementary,Not applicable,Site based only,No Association Membership
534,Four Corners Amish School,668218,,Laura Stoll,,,11115 Carter Road,Aylmer,Ontario,N5H2R3,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
535,Four Winds Montessori School Inc.,877700,,Annette Moore,,,116 Church St,Bowmanville,Ontario,L1C1T2,905-623-6722,,East Region,fourwindsmontessori@gmail.com,www.fourwindsmontessorischool.com,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
536,Fourth Peel Parochial,888320,,Erla Martin,,,7443 Fourth Line,Wallenstein,Ontario,N0B2S0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
537,Francine J. Wesley Secondary School,663048,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jane Wynne,,180,16 St. Andrew's Street,KASHECHEWAN,Ontario,P0L1S0,705-275-4111,705-275-4139,North Region,tanya.spence@fjwsschool.com,fjwsschool.com,Elem/Sec,First Nation,Site based only,No Association Membership
538,Free Bird Nature School,882037,,Leigh Bird,,,211 Millford Crescent,Salem,Ontario,N0B1S0,705-796-4915,,West Region,freebirdnatureschool@gmail.com,www.freebirdnatureschool.ca,Elementary,Not applicable,Site based only,No Association Membership
539,Free Spirit Forest and Nature School,884982,,MATTHEW SIMPSON,,,879 Sixth Street,Collingwood,Ontario,L9Y3Y9,705-606-1508,,Central Region,fsforestschool@gmail.com,https://fsforestschool.com/,Elementary,Not applicable,Site based only,No Association Membership
540,Freedom High School,886198,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jason Dorien,,,301 Pleasant Park Road,Ottawa,Ontario,K1H5M7,647-915-1968,,West Region,principal@freedomhighschool.ca,freedomhighschool.ca,Secondary,All Year Round,Online Only,No Association Membership
541,Friendship Amish School,883086,,Esther Miller,,,52504 Glencolin Line,Aylmer,Ontario,N5H2R3,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
542,Fulford Academy,669256,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sarah MacMillan,,,118 Main Street East,Merrickville,Ontario,K0G1N0,613-341-9330,,East Region,sarah.macmillan@fulfordacademy.com,www.fulfordacademy.com,Secondary,Not applicable,Online/Site Based,No Association Membership
543,Fullbright Academy,883210,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kylan Mitchell,,,738 Lyons Creek Road,Welland,Ontario,L3B5N4,905-946-9868,,West Region,fullbrightschool@gmail.com,www.fullbright.ca,Secondary,Not applicable,Online/Site Based,No Association Membership
544,Future Hope Academy,669529,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sajanth Mohanakanthan,Bldg B,,3000 Lawrence Ave E.,Toronto,Ontario,M1P2V1,416-289-4200,,East Region,admin@futurehopeacademy.com,www.futurehopeacademy.com,Elem/Sec,All Year Round,Site based only,Other
545,Futures Canadian School,883254,Offers credits toward the Ontario Secondary School Diploma (OSSD),Vaishali Sridhar,101,,3465 Semenyk Ct,Mississauga,Ontario,L5C4P9,,,Central Region,admin@futurescanadianschool.com,,Secondary,Not applicable,Online/Site Based,No Association Membership
546,GEC World Academy,669368,Offers credits toward the Ontario Secondary School Diploma (OSSD),John Brennan,418,,4004 Sheppard Ave. E.,Scarborough,Ontario,M1S4R5,416-684-2321,,East Region,tbrennan@gecglobal.ca,www.gecglobal.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
547,GEN ACADEMY,667780,Offers credits toward the Ontario Secondary School Diploma (OSSD),Amer Alabed,4,,1440 Grahams Ln,Burlington,Ontario,L7S1W3,905-218-7053,,West Region,ameralabed@gmail.com,genacademy.ca,Secondary,All Year Round,Online Only,No Association Membership
548,GN Rising Excellence Institute Inc.,881779,,Euloge Ganpo Nkwenkwa,202,,5805 Whittle Road,Mississauga,Ontario,L4Z2J1,437-225-6082,,Central Region,info@risingexcellenceinstitute.com,www.risingexcellenceinstitute.com,Secondary,All Year Round,nan,
549,Gaagige Kiizhik Gakinoo'amaadiiwi'gamig,664541,,Melissa Plomp,,p9n 3y4,1450 Valley Drive,Kenora,Ontario,P9N3Y4,807-548-4912,807-548-5917,North Region,kiizhik@bimose.ca,www.bimose.ca,Elementary,First Nation,nan,
550,Garden River Elementary School,664779,,Leeann Pine,,,48 Syrette Lake Road,Garden River,Ontario,P6A7A1,705-946-3933,,North Region,lwpine@gardenriver.ca,Garden River Education Unit,Elementary,First Nation,Site based only,Other
551,Georgian Heights School,887036,,Alika Giesbrecht,,,137845 Grey Rd 12,Meaford,Ontario,N4L1W6,519-538-9001,,West Region,georgian.heights@icloud.com,,Elem/Sec,Not applicable,Site based only,No Association Membership
552,German International School Toronto,666130,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rouven Hollman,,,25 Burnhamthorpe rd,Toronto,Ontario,M9A1G9,416-922-6413,416-922-6413,Toronto Region,admissions@gistonline.ca,www.gistonline.ca,Elem/Sec,Not applicable,Site based only,IB Schools of Ontario
553,Gibraltar Leadership Academy,669627,Offers credits toward the Ontario Secondary School Diploma (OSSD),Riyad Khan,,,431 Nugget Ave.,Scarborough,Ontario,M1S4A4,416-297-0770,,East Region,info@gibraltarleads.ca,www.gibraltarleads.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
554,Gibraltar Leadership Academy Clarington,668438,Offers credits toward the Ontario Secondary School Diploma (OSSD),Riyad Khan,,,2038 Nash Rd.,Bowmanville,Ontario,L1C3K4,416-297-0770,,East Region,clarington@gibraltarleads.ca,www.gibraltarleads.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
555,Gibraltar Leadership Academy Durham,668534,,Riyad Khan,,,2944 Audley Rd.,Ajax,Ontario,L1Z1T7,416-297-0770,,East Region,durham@gibraltarleads.ca,www.gibraltarleads.ca,Elementary,Not applicable,Site based only,No Association Membership
556,"Giles School, The",884820,,Caroline Bernaba,,,80 Scarsdale Rd,Toronto,Ontario,M3B2R7,416-446-0825,416-446-0846,Central Region,office@gilesschool.ca,http://www.gilesschool.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
557,Glad Tidings Christian School,883093,,Trevor Drudge,,,54 Park St,Tara,Ontario,N0H2N0,519-934-2558,519-934-2558,West Region,gtcs13@gmail.com,,Elem/Sec,Not applicable,Site based only,Mennonite school community
558,Glebe Montessori School,877840,,Sylvie Rankin,,,650 Lyon St South,Ottawa,Ontario,K1S3Z7,613-237-3824,,East Region,gmsinfo@glebemontessori.ca,http://www.glebemontessori.com,Elementary,Not applicable,Site based only,No Association Membership
559,Glen Bernard Camp,886284,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jocelyn Palm,,660,2066 South Lake Bernard Rd,Sundridge,Ontario,P0A1Z0,705-384-7062,705-384-0155,North Region,info@gbcamp.com,www.gbcamp.com,Secondary,Summer,Site based only,No Association Membership
560,Glen Briar Academy,882158,Offers credits toward the Ontario Secondary School Diploma (OSSD),Konstantina Peristeris,2nd Floor,,210 Wilson Avenue,Toronto,Ontario,M5M3B1,416-484-9494,,Toronto Region,registrar@glenbriaracademy.com,www.glenbriaracademy.com,Elem/Sec,Not applicable,Site based only,No Association Membership
561,Glen Meyer Old Colony School,875066,,Jacob Peters,,,1436 1st Concession Road,Langton,Ontario,N0E1G0,519-875-3248,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
562,GlenOak Academy,669460,,Michael Duclos,5,,1575 Clarkson Road North,Mississauga,Ontario,L5J2X1,905-916-3673,905-916-2912,Central Region,office@glenoakacademy.com,www.glenoakacademy.com,Elementary,Not applicable,Online/Site Based,Ontario Federation of Independent Schools
563,Glencedar Montessori Private School,668436,,Lara Zanette,,,11 SONOMA BLVD,WOODBRIDGE,Ontario,L4H3C4,905-417-5433,905-893-7127,Central Region,glencedarmontessori@bellnet.ca,gcmontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
564,Glenlee Parochial School,669800,,Harvey Martin,,,6644 Minto Sixth Line 1,Harriston,Ontario,N0G1Z0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
565,Global Education Academy,883977,Offers credits toward the Ontario Secondary School Diploma (OSSD),Irwin Diamond,First Floor,,95 Moatfield Drive,North York,Ontario,M3B3L6,905-707-7781,,Central Region,gea@gedu.ca,www.geacademy.ca,Secondary,Not applicable,Online/Site Based,No Association Membership
566,Global Journeys,885651,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lisa Trentin,100,,6700 Century Ave,Mississauga,Ontario,L5N6A4,905-812-0912,,Central Region,info@global-journeys.com,www.global-journeys.com,Secondary,Summer,Online/Site Based,No Association Membership
567,Global Private School,884668,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fariborz Khoshnoudian,201,,10149 Yonge Street,Richmond Hill,Ontario,L4C1T5,647-962-5997,,Central Region,f_khoshnoudian@yahoo.com,www.globalprivateschool.com,Elem/Sec,Not applicable,Online/Site Based,Other
568,Global Summers Academy,669205,Offers credits toward the Ontario Secondary School Diploma (OSSD),Chris Fuller,600,,"3250 Bloor Street West, East T",Etobicoke,Ontario,M8X2X9,416-357-2621,,West Region,info@globalsummersacademy.com,https://globalsummersacademy.com,Secondary,Summer,Site based only,No Association Membership
569,Globe Cambridge School,883121,Offers credits toward the Ontario Secondary School Diploma (OSSD),Peter Zavodny,100,,20 Upjohn Road,Toronto,Ontario,M3B2V9,416-331-8808,,East Region,info@globeschool.com,www.globeschool.com,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
570,Gobind Sarvar Brampton,884989,Offers credits toward the Ontario Secondary School Diploma (OSSD),Gurmohit Thind,,,8260 Huntington Road,Woodbridge,Ontario,L4H4Z6,905-458-6222,905-458-7388,Central Region,info@gsbrampton.com,gsbrampton.com,Elem/Sec,Not applicable,Site based only,No Association Membership
